class;method;file
BaseCraftingLogic;getFavouriteModDataString;ISRecipeScrollingListBox.lua
BaseCraftingLogic;getFavouriteModDataString;ISWidgetRecipesPanel.lua
BaseCraftingLogic;getFavouriteModDataString;ISWidgetTitleHeader.lua
BaseGameCharacterDetails;DoProfessions;CoopCharacterCreation.lua
BaseGameCharacterDetails;SetProfessionDescription;MainCreationMethods.lua
BaseGameCharacterDetails;SetTraitDescription;MainCreationMethods.lua
BaseHandler;new;ISHealthPanel.lua
Basements;getAPIv1;metazoneHandler.lua
BasePropertiesPanel;new;DebugGlobalObjectState_PropertiesPanel.lua
BaseVehicle;getFakeSpeedModifier;ISVehicleDashboard.lua
BaseVehicle;isEnterBlocked;ISVehicleMenu.lua
BCRC;dump;CharacterCreationProfession.lua
BCRC;inputModal;CharacterCreationMain.lua
BCRC;inputModal;CharacterCreationProfession.lua
BCRC;readSaveFile;CharacterCreationProfession.lua
BCRC;writeSaveFile;CharacterCreationProfession.lua
BentFences;getInstance;BentFences.lua
BentFences;getInstance;DebugContextMenu.lua
BloodBodyPartType;FromIndex;ClientCommands.lua
BloodBodyPartType;FromIndex;DamageModelDefinitions.lua
BloodBodyPartType;FromIndex;ISDebugBlood.lua
BloodBodyPartType;FromIndex;ISGarmentUI.lua
BloodBodyPartType;FromIndex;ISHealthPanel.lua
BloodBodyPartType;FromIndex;ISWashYourself.lua
BloodBodyPartType;FromIndex;ISWorldObjectContextMenu.lua
BloodClothingType;getCoveredParts;ISWashClothing.lua
BloodClothingType;getCoveredParts;ISWorldObjectContextMenu.lua
BodyLocations;getGroup;BodyLocations.lua
BodyLocations;getGroup;CharacterCreationMain.lua
BodyPartType;FromIndex;HealthUpdate.lua
BodyPartType;FromIndex;ISBaseTimedAction.lua
BodyPartType;FromIndex;ISBodyPartPanel.lua
BodyPartType;FromIndex;ISCharacterProtection.lua
BodyPartType;FromIndex;ISClothingInsPanel.lua
BodyPartType;FromIndex;ISMoveableSpriteProps.lua
BodyPartType;getDisplayName;ISCharacterProtection.lua
BodyPartType;getDisplayName;ISHealthPanel.lua
BodyPartType;getDisplayName;ISInventoryPaneContextMenu.lua
BodyPartType;ToIndex;ISApplyBandage.lua
BodyPartType;ToIndex;ISBaseTimedAction.lua
BodyPartType;ToIndex;ISCharacterProtection.lua
BodyPartType;ToIndex;ISClothingInsPanel.lua
BodyPartType;ToIndex;ISDisinfect.lua
BodyPartType;ToIndex;ISHealthPanel.lua
BodyPartType;ToIndex;ISInventoryPaneContextMenu.lua
BodyPartType;ToIndex;ISReloadWeaponAction.lua
BodyPartType;ToString;ClientCommands.lua
BodyPartType;ToString;ISCharacterProtection.lua
BodyPartType;ToString;ISHealthPanel.lua
Brochure;get;ISWorldMap.lua
BrokenFences;getInstance;BrokenFences.lua
BrokenFences;getInstance;DebugContextMenu.lua
BrushToolChooseTileUI;openPanel;BrushToolManager.lua
BuildingHelper;getShovelAnim;ISClearAshes.lua
BuildingHelper;getShovelAnim;ISEmptyGraves.lua
BuildingHelper;getShovelAnim;ISFillGrave.lua
BuildingHelper;getShovelAnim;ISPlowAction.lua
BuildingHelper;getShovelAnim;ISShovelAction.lua
BuildingHelper;getShovelAnim;ISShovelGround.lua
buildingObj;onObjectLeftMouseButtonDown;ISObjectClickHandler.lua
BuildLogic;new;BuildUI.lua
BuildLogic;new;ISBuildIsoEntity.lua
BuildLogic;new;ISBuildPanel.lua
buildUtil;addCorner;ISBuildUtil.lua
buildUtil;addWoodXp;RainCollectorBarrel.lua
buildUtil;addWoodXp;TrapBO.lua
buildUtil;canBePlace;ISBuildingObject.lua
buildUtil;canBePlace;ISDoubleDoor.lua
buildUtil;canBePlace;ISEmptyGraves.lua
buildUtil;canBePlace;ISSimpleFurniture.lua
buildUtil;canBePlace;ISWoodenDoorFrame.lua
buildUtil;canBePlace;ISWoodenStairs.lua
buildUtil;canBePlace;ISWoodenWall.lua
buildUtil;checkCorner;ISBuildIsoEntity.lua
buildUtil;checkCorner;ISWoodenDoorFrame.lua
buildUtil;checkCorner;ISWoodenWall.lua
buildUtil;consumeMaterial;ISBarbedWire.lua
buildUtil;consumeMaterial;ISButcheringHook.lua
buildUtil;consumeMaterial;ISCompost.lua
buildUtil;consumeMaterial;ISDoubleDoor.lua
buildUtil;consumeMaterial;ISDoubleTileFurniture.lua
buildUtil;consumeMaterial;ISLightSource.lua
buildUtil;consumeMaterial;ISMultiStageBuild.lua
buildUtil;consumeMaterial;ISSimpleFurniture.lua
buildUtil;consumeMaterial;ISWoodenContainer.lua
buildUtil;consumeMaterial;ISWoodenDoor.lua
buildUtil;consumeMaterial;ISWoodenDoorFrame.lua
buildUtil;consumeMaterial;ISWoodenFloor.lua
buildUtil;consumeMaterial;ISWoodenStairs.lua
buildUtil;consumeMaterial;ISWoodenWall.lua
buildUtil;consumeMaterial;RainCollectorBarrel.lua
buildUtil;getDoubleDoorObjects;AdminContextMenu.lua
buildUtil;getDoubleDoorObjects;ClientCommands.lua
buildUtil;getDoubleDoorObjects;DebugContextMenu.lua
buildUtil;getDoubleDoorObjects;ISDestroyCursor.lua
buildUtil;getDoubleDoorObjects;ISDestroyStuffAction.lua
buildUtil;getDoubleDoorObjects;ISLockDoor.lua
buildUtil;getDoubleDoorObjects;ISMoveableSpriteProps.lua
buildUtil;getGarageDoorObjects;AdminContextMenu.lua
buildUtil;getGarageDoorObjects;ClientCommands.lua
buildUtil;getGarageDoorObjects;DebugContextMenu.lua
buildUtil;getGarageDoorObjects;ISDestroyCursor.lua
buildUtil;getGarageDoorObjects;ISDestroyStuffAction.lua
buildUtil;getGarageDoorObjects;ISLockDoor.lua
buildUtil;getGarageDoorObjects;ISMoveableSpriteProps.lua
buildUtil;getGraveObjects;ISDestroyCursor.lua
buildUtil;getGraveObjects;ISDestroyStuffAction.lua
buildUtil;getMaterialOnGround;ISBuildingObject.lua
buildUtil;getMaterialOnGround;ISBuildUtil.lua
buildUtil;getMaterialOnGround;ISLightSource.lua
buildUtil;getMaterialOnGround;ISMultiStageBuild.lua
buildUtil;getMaterialOnGroundCounts;ISBuildingObject.lua
buildUtil;getMaterialOnGroundCounts;ISBuildUtil.lua
buildUtil;getMaterialOnGroundUses;ISBuildingObject.lua
buildUtil;getStairObjects;ISBuildingObject.lua
buildUtil;getStairObjects;ISDestroyCursor.lua
buildUtil;getStairObjects;ISDestroyStuffAction.lua
buildUtil;getStairObjects;ISDismantleAction.lua
buildUtil;getStairObjects;ISMoveableCursor.lua
buildUtil;getStairObjects;ISMoveableSpriteProps.lua
buildUtil;getWoodHealth;ISBuildIsoEntity.lua
buildUtil;getWoodHealth;ISCompost.lua
buildUtil;getWoodHealth;ISDoubleDoor.lua
buildUtil;getWoodHealth;ISDoubleTileFurniture.lua
buildUtil;getWoodHealth;ISEmptyGraves.lua
buildUtil;getWoodHealth;ISLightSource.lua
buildUtil;getWoodHealth;ISSimpleFurniture.lua
buildUtil;getWoodHealth;ISWoodenContainer.lua
buildUtil;getWoodHealth;ISWoodenDoor.lua
buildUtil;getWoodHealth;ISWoodenDoorFrame.lua
buildUtil;getWoodHealth;ISWoodenStairs.lua
buildUtil;getWoodHealth;ISWoodenWall.lua
buildUtil;getWoodHealth;RainCollectorBarrel.lua
buildUtil;openNailsBox;ISBuildUtil.lua
buildUtil;openNailsBox;ISMultiStageBuild.lua
buildUtil;predicateMaterial;ISBuildUtil.lua
buildUtil;setHaveConstruction;ActionManager.lua
buildUtil;setHaveConstruction;ISAddSheetAction.lua
buildUtil;setHaveConstruction;ISAddSheetRope.lua
buildUtil;setHaveConstruction;ISBarricadeAction.lua
buildUtil;setHaveConstruction;ISBuildAction.lua
buildUtil;setHaveConstruction;ISLightActions.lua
buildUtil;setHaveConstruction;ISMoveablesAction.lua
buildUtil;setHaveConstruction;ISPlaceTrap.lua
buildUtil;setHaveConstruction;ISPlumbItem.lua
buildUtil;setHaveConstruction;ISUnbarricadeAction.lua
buildUtil;setHaveConstruction;TransactionProcessor.lua
buildUtil;setInfo;ISBarbedWire.lua
buildUtil;setInfo;ISBuildIsoEntity.lua
buildUtil;setInfo;ISDoubleDoor.lua
buildUtil;setInfo;ISDoubleTileFurniture.lua
buildUtil;setInfo;ISLightSource.lua
buildUtil;setInfo;ISSimpleFurniture.lua
buildUtil;setInfo;ISWoodenContainer.lua
buildUtil;setInfo;ISWoodenDoor.lua
buildUtil;setInfo;ISWoodenDoorFrame.lua
buildUtil;setInfo;ISWoodenWall.lua
buildUtil;setInfo;RainCollectorBarrel.lua
buildUtil;setInfo;TrapBO.lua
buildUtil;stairIsBlockingPlacement;ISBuildIsoEntity.lua
buildUtil;stairIsBlockingPlacement;ISCompost.lua
buildUtil;stairIsBlockingPlacement;ISDoubleDoor.lua
buildUtil;stairIsBlockingPlacement;ISDoubleTileFurniture.lua
buildUtil;stairIsBlockingPlacement;ISLightSource.lua
buildUtil;stairIsBlockingPlacement;ISSimpleFurniture.lua
buildUtil;stairIsBlockingPlacement;ISWoodenContainer.lua
buildUtil;stairIsBlockingPlacement;ISWoodenDoorFrame.lua
buildUtil;stairIsBlockingPlacement;ISWoodenWall.lua
buildUtil;stairIsBlockingPlacement;RainCollectorBarrel.lua
buildUtil;useDrainable;ISBuildIsoEntity.lua
buildUtil;useDrainable;ISBuildUtil.lua
buildUtil;useDrainable;ISMultiStageBuild.lua
ButcheringUtil;addAnimalPart;ButcheringUtil.lua
ButcheringUtil;addAnimalPart;ISRemoveMeatFromAnimal.lua
ButcheringUtil;butcherAnimalFromGround;ISButcherAnimal.lua
ButcheringUtil;butcherAnimalFromGround;ISButcheringDebugUI.lua
ButcheringUtil;butcherAnimalFromGround;ISGetAnimalBones.lua
ButcheringUtil;createAnimalForHook;ButcheringUtil.lua
ButcheringUtil;createCorpseFromItem;ButcheringUtil.lua
ButcheringUtil;getAllBonesDef;ButcheringUtil.lua
ButcheringUtil;getAllPartsDef;ButcheringUtil.lua
ButcheringUtil;getAllPartsDef;ISRemoveMeatFromAnimal.lua
ButcheringUtil;getAnimalBones;ButcheringUtil.lua
ButcheringUtil;getAnimalDef;ButcheringUtil.lua
ButcheringUtil;getAnimalDef;ISCutAnimalOnHook.lua
ButcheringUtil;getAnimalDef;ISGatherBloodFromAnimal.lua
ButcheringUtil;getAnimalDef;ISRemoveAnimalFromHook.lua
ButcheringUtil;getAnimalDef;ISRemoveHeadFromAnimal.lua
ButcheringUtil;getAnimalDef;ISRemoveLeatherFromAnimal.lua
ButcheringUtil;getBuckets;ISButcherHookUI.lua
ButcheringUtil;getBuckets;ISGatherBloodFromAnimal.lua
ButcheringUtil;getCarcassName;ButcheringUtil.lua
ButcheringUtil;getHead;ButcheringUtil.lua
ButcheringUtil;getHead;ISRemoveHeadFromAnimal.lua
ButcheringUtil;getLeather;ButcheringUtil.lua
ButcheringUtil;getLeather;ISRemoveLeatherFromAnimal.lua
ButcheringUtil;getPartChance;ButcheringUtil.lua
ButcheringUtil;getSkull;ButcheringUtil.lua
ButcheringUtil;getSkull;ISRemoveHeadFromAnimal.lua
ButcheringUtil;giveMeatModified;ButcheringUtil.lua
ButcheringUtil;isHookUsingSameCharacter;ISCutAnimalOnHook.lua
ButcheringUtil;isHookUsingSameCharacter;ISGatherBloodFromAnimal.lua
ButcheringUtil;isHookUsingSameCharacter;ISPutAnimalOnHook.lua
ButcheringUtil;isHookUsingSameCharacter;ISRemoveAnimalFromHook.lua
ButcheringUtil;isHookUsingSameCharacter;ISRemoveHeadFromAnimal.lua
ButcheringUtil;isHookUsingSameCharacter;ISRemoveLeatherFromAnimal.lua
ButcheringUtil;isHookUsingSameCharacter;ISRemoveMeatFromAnimal.lua
ButcheringUtil;modifyMeat;ButcheringUtil.lua
ButcheringUtil;onAddedCorpseOnHook;ISButcherHookUI.lua
ButcheringUtil;onAddedCorpseOnHook;ISPutAnimalOnHook.lua
ButcheringUtil;onRemoveCorpseFromHook;ButcheringUtil.lua
ButcheringUtil;onRemoveCorpseFromHook;ISButcherHookUI.lua
ButcheringUtil;onRemoveCorpseFromHook;ISRemoveAnimalFromHook.lua
ButcheringUtil;setUsingPlayerForHook;ISCutAnimalOnHook.lua
ButcheringUtil;setUsingPlayerForHook;ISGatherBloodFromAnimal.lua
ButcheringUtil;setUsingPlayerForHook;ISPutAnimalOnHook.lua
ButcheringUtil;setUsingPlayerForHook;ISRemoveAnimalFromHook.lua
ButcheringUtil;setUsingPlayerForHook;ISRemoveHeadFromAnimal.lua
ButcheringUtil;setUsingPlayerForHook;ISRemoveLeatherFromAnimal.lua
ButcheringUtil;setUsingPlayerForHook;ISRemoveMeatFromAnimal.lua
ButcheringUtil;updateCorpseDatas;ISButcherHookUI.lua
ButcheringUtil;updateCorpseDatas;ISGatherBloodFromAnimal.lua
ButcheringUtil;updateCorpseDatas;ISRemoveHeadFromAnimal.lua
ButcheringUtil;updateCorpseDatas;ISRemoveLeatherFromAnimal.lua
ButcheringUtil;updateCorpseDatas;ISRemoveMeatFromAnimal.lua
button;keyFunction;ISOnScreenKeyboard.lua
c;getSpawnRegion;LastStandSetup.lua
CachedData;addAppliedData;ISHandcraftAction.lua
Calendar;getInstance;Challenge2.lua
Calendar;getInstance;ISRunningDebugUI.lua
Calendar;getInstance;ISVehicleRoadtripDebug.lua
Calendar;getInstance;MapSpawnSelect.lua
camping;addTent;MOTent.lua
camping;destroyTent;ISBuildingObject.lua
camping;findTentObject;camping_tent.lua
camping;findTentSprites;camping_tent.lua
camping;getTentObjects;camping_tent.lua
camping;isTentObject;camping_tent.lua
camping;isTentObject;ISBuildingObject.lua
camping;removeTent;camping_tent.lua
camping;removeTent;MOTent.lua
camping;tentAt;camping_tent.lua
catData;filter;BuildUI.lua
CGlobalObject;new;CCampfireGlobalObject.lua
CGlobalObject;new;CFeedingTroughGlobalObject.lua
CGlobalObject;new;CPlantGlobalObject.lua
CGlobalObject;new;CRainBarrelGlobalObject.lua
CGlobalObject;new;CTrapGlobalObject.lua
CGlobalObjects;getSystemByIndex;CGlobalObjectSystem.lua
CGlobalObjects;getSystemCount;CGlobalObjectSystem.lua
CGlobalObjects;registerSystem;CGlobalObjectSystem.lua
CGlobalObjectSystem;new;CCampfireSystem.lua
CGlobalObjectSystem;new;CFarmingSystem.lua
CGlobalObjectSystem;new;CFeedingTroughSystem.lua
CGlobalObjectSystem;new;CRainBarrelSystem.lua
CGlobalObjectSystem;new;CTrapSystem.lua
CGlobalObjectSystem;OnServerCommand;CFarmingSystem.lua
CGlobalObjectSystem;RegisterSystemClass;CCampfireSystem.lua
CGlobalObjectSystem;RegisterSystemClass;CFarmingSystem.lua
CGlobalObjectSystem;RegisterSystemClass;CFeedingTroughSystem.lua
CGlobalObjectSystem;RegisterSystemClass;CRainBarrelSystem.lua
CGlobalObjectSystem;RegisterSystemClass;CTrapSystem.lua
Challenge1;FillContainers;Challenge1.lua
Challenge1;SpawnZombies;Challenge1.lua
Challenge2;endWave;Challenge2.lua
Challenge2;SpawnZombies;Challenge2.lua
CharacterCreationMain;invertSort;CharacterCreationProfession.lua
CharacterCreationMain;new;CoopCharacterCreationMain.lua
CharacterCreationMain;onOptionMouseDown;CoopCharacterCreationMain.lua
CharacterCreationMain;readSavedOutfitFile;CharacterCreationMain.lua
CharacterCreationMain;sort;CharacterCreationProfession.lua
CharacterCreationMain;writeSaveFile;CharacterCreationMain.lua
CharacterCreationProfession;new;CoopCharacterCreationProfession.lua
CharacterCreationProfession;onOptionMouseDown;CoopCharacterCreationProfession.lua
CharacterProfession;get;LastStandPlayerSelect.lua
CharacterProfessionDefinition;getCharacterProfessionDefinition;ISCharacterScreen.lua
CharacterProfessionDefinition;getCharacterProfessionDefinition;ISPlayerStatsUI.lua
CharacterProfessionDefinition;getCharacterProfessionDefinition;LastStandPlayerSelect.lua
CharacterProfessionDefinition;getCharacterProfessionDefinition;ServerSettingsScreen.lua
CharacterProfessionDefinition;getProfessions;CharacterCreationProfession.lua
CharacterProfessionDefinition;getProfessions;ISPlayerStatsChooseProfessionUI.lua
CharacterProfessionDefinition;getProfessions;MainCreationMethods.lua
CharacterProfessionDefinition;getProfessions;ServerSettingsScreen.lua
CharacterTrait;get;forageSystem.lua
CharacterTrait;get;LastStandPlayerSelect.lua
CharacterTraitDefinition;getCharacterTraitDefinition;CharacterCreationProfession.lua
CharacterTraitDefinition;getCharacterTraitDefinition;ISCharacterScreen.lua
CharacterTraitDefinition;getCharacterTraitDefinition;ISPlayerStatsUI.lua
CharacterTraitDefinition;getCharacterTraitDefinition;LastStandPlayerSelect.lua
CharacterTraitDefinition;getCharacterTraitDefinition;MainCreationMethods.lua
CharacterTraitDefinition;getCharacterTraitDefinition;SpawnItems.lua
CharacterTraitDefinition;getTraits;CharacterCreationProfession.lua
CharacterTraitDefinition;getTraits;ISPlayerStatsChooseTraitUI.lua
CharacterTraitDefinition;getTraits;MainCreationMethods.lua
chosenTutorial;doubleClickInventory;ISInventoryPane.lua
ChunkReader;GetNextChunk;DebugDemoTime.lua
ChunkReader;ResetChunkReader;DebugDemoTime.lua
ChunkReader;SetNextRing;DebugDemoTime.lua
CleanBandages;getAvailableItems;ISWorldObjectContextMenu.lua
CleanBandages;setSubmenu;ISWorldObjectContextMenu.lua
ClimateColorInfo;writeColorInfoConfig;ClimateColorsDebug.lua
ClimateControlDebug;OnOpenPanel;ISDebugMenu.lua
ClimateManager;getWindNoiseBase;WindDebug.lua
ClimateManager;getWindNoiseFinal;WindDebug.lua
ClimateManager;getWindTickFinal;WindDebug.lua
ClimateManager;ToKph;ISWeatherChannel.lua
ClimateManager;ToMph;ISWeatherChannel.lua
ClimbDownSheetRopeState;instance;ISTimedActionQueue.lua
ClimbDownSheetRopeState;instance;ISWalkToCursor.lua
ClimbOverFenceState;instance;ISTimedActionQueue.lua
ClimbOverFenceState;instance;ISWalkToCursor.lua
ClimbOverFenceState;instance;Steps.lua
ClimbOverWallState;instance;ISTimedActionQueue.lua
ClimbOverWallState;instance;ISWalkToCursor.lua
ClimbOverWallState;instance;Steps.lua
ClimbSheetRopeState;instance;CFarming_Interact.lua
ClimbSheetRopeState;instance;ISTimedActionQueue.lua
ClimbSheetRopeState;instance;ISWalkToCursor.lua
ClimbThroughWindowState;instance;ISTimedActionQueue.lua
ClimbThroughWindowState;instance;ISWalkToCursor.lua
ClimbThroughWindowState;instance;Steps.lua
Clipboard;getClipboard;ISTeleportDebugUI.lua
Clipboard;setClipboard;ISSpawnPointsEditor.lua
Clipboard;setClipboard;ISTeleportDebugUI.lua
Clipboard;setClipboard;ISVersionWaterMark.lua
Clipboard;setClipboard;MainScreen.lua
Clipboard;setClipboard;ModListPresets.lua
Clipboard;setClipboard;WorldMapEditor.lua
CloseWindowState;instance;ISTimedActionQueue.lua
Clothing;getScratchDefenseFromItem;ISGarmentUI.lua
Clothing;getScratchDefenseFromItem;ISInventoryPaneContextMenu.lua
ClothingPatchFabricType;fromIndex;ISRemovePatch.lua
Color;HSBtoRGB;ISColorPickerHSB.lua
Color;new;ISBodyPartPanel.lua
Color;new;ISCharacterProtection.lua
Color;new;ISClothingInsPanel.lua
Color;new;ISColorPicker.lua
Color;new;ISItemEditPanel.lua
Color;new;ISModalEditRole.lua
Color;new;ISSLFrame.lua
Color;new;ISTransferWaterAction.lua
Color;new;ISVehicleMechanics.lua
ColorInfo;new;CharacterCreationMain.lua
ColorInfo;new;ISEquippedItem.lua
ColorInfo;new;ISExtinguishCursor.lua
ColorInfo;new;ISFactionUI.lua
ColorInfo;new;ISGarmentUI.lua
ColorInfo;new;ISInventoryPaneContextMenu.lua
ColorInfo;new;ISItemEditPanel.lua
ColorInfo;new;ISMapSymbolDialog.lua
ColorInfo;new;ISModalEditRole.lua
ColorInfo;new;ISMoveableSpriteProps.lua
ColorInfo;new;ISPaintAction.lua
ColorInfo;new;ISPickDungCursor.lua
ColorInfo;new;ISScytheGrassCursor.lua
ColorInfo;new;ISTextBox.lua
ColorInfo;new;ISTextBoxMap.lua
ColorInfo;new;ISVehicleDashboard.lua
ColorInfo;new;ISVehicleMechanics.lua
ColorInfo;new;ISWorldMapSymbols.lua
ColorInfo;new;MainOptions.lua
ColorInfo;new;SandboxOptions.lua
ColorInfo;new;Steps.lua
Colors;GetColorByName;env.lua
Colors;GetColorInfo;XuiDebugWindow.lua
Colors;GetColorNames;XuiDebugWindow.lua
ContextualAction;Add;ISContextualActions.lua
CoopCharacterCreation;newPlayer;ISJoyPadListBox.lua
CoopCharacterCreation;newPlayer;ISPostDeathUI.lua
CoopCharacterCreation;setVisibleAllUI;CoopCharacterCreation.lua
Core;getInstance;ISRichTextPanel.lua
Core;getInstance;ISWeather.lua
Core;getMyDocumentFolder;WorkshopSubmitScreen.lua
Core;getTileScale;DebugChunkStateUI.lua
Core;getTileScale;ISBaseIcon.lua
Core;getTileScale;ISBuildingObject.lua
Core;getTileScale;ISBuildIsoEntity.lua
Core;getTileScale;ISDestroyCursor.lua
Core;getTileScale;ISFluidContainerPanel.lua
Core;getTileScale;ISMoveableCursor.lua
Core;getTileScale;ISMoveableInfoWindow.lua
Core;getTileScale;ISPaintCursor.lua
Core;getTileScale;MainOptions.lua
Core;getTileScale;SCampfireGlobalObject.lua
Core;getTileScale;TileGeometryEditor.lua
Core;getTileScale;TileGeometryEditor_EditMode.lua
